Name,Debut,Final,Position,Height,Weight,Birthday,School,HOF,Active,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Alaa Abdelnaby,1991,1995,"['Forward', 'Center']",82,240.0,"June 24, 1968",['Duke'],False,False,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
Zaid Abdul-Aziz,1969,1978,"['Center', 'Forward']",81,235.0,"April 7, 1946",['Iowa State'],False,False,505,9.0,8.0,1.2,42.8,,72.8,,15.1,17.5
Kareem Abdul-Jabbar,1970,1989,['Center'],86,225.0,"April 16, 1947",['UCLA'],True,False,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Mahmoud Abdul-Rauf,1991,2001,['Guard'],73,162.0,"March 9, 1969",['LSU'],False,False,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Tariq Abdul-Wahad,1998,2003,['Forward'],78,223.0,"November 3, 1974","['Michigan', ' San Jose State']",False,False,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Shareef Abdur-Rahim,1997,2008,['Forward'],81,225.0,"December 11, 1976",['California'],False,False,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
Tom Abernethy,1977,1981,['Forward'],79,220.0,"May 6, 1954",['Indiana'],False,False,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Forest Able,1957,1957,['Guard'],75,180.0,"July 27, 1932",['Western Kentucky'],False,False,1,0.0,1.0,1.0,0.0,,,,-41.5,0.0
John Abramovic,1947,1948,['Forward'],75,195.0,"February 9, 1919",['Salem University'],False,False,56,9.5,,0.7,23.7,,68.6,,,-1.9
Álex Abrines,2017,2019,"['Guard', 'Forward']",78,200.0,"August 1, 1993",,False,False,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
Precious Achiuwa,2021,2025,['Forward'],80,225.0,"September 19, 1999",['Memphis'],False,True,320,7.6,5.7,1.0,48.4,30.4,60.6,51.4,14.0,11.8
Alex Acker,2006,2009,['Guard'],77,185.0,"January 21, 1983",['Pepperdine'],False,False,30,2.7,1.0,0.5,37.0,32.0,50.0,41.3,8.5,-0.2
Don Ackerman,1954,1954,['Guard'],72,183.0,"September 4, 1930",['Long Island University'],False,False,28,1.5,0.5,0.8,22.2,,53.6,,1.0,-0.6
Mark Acres,1988,1993,"['Forward', 'Center']",83,220.0,"November 15, 1962",['Oral Roberts'],False,False,375,3.6,4.1,0.5,50.6,53.8,66.5,50.9,9.0,9.3
Bud Acton,1968,1968,['Forward'],78,210.0,"January 11, 1942",['Hillsdale College'],False,False,23,3.3,2.0,0.5,39.2,,65.5,,9.5,0.1
Quincy Acy,2013,2019,"['Forward', 'Center']",79,240.0,"October 6, 1990",['Baylor'],False,False,337,4.9,3.5,0.6,44.4,35.0,75.9,51.3,11.2,8.7
Alvan Adams,1976,1988,"['Center', 'Forward']",81,210.0,"July 19, 1954",['Oklahoma'],False,False,988,14.1,7.0,4.1,49.8,13.3,78.8,49.8,18.3,73.5
Don Adams,1971,1977,['Forward'],78,210.0,"November 27, 1947",['Northwestern'],False,False,523,8.8,5.6,1.9,40.2,0.0,74.1,40.2,10.7,11.7
George Adams,1973,1975,"['Forward', 'Guard']",77,210.0,"May 15, 1949",['Gardner-Webb University'],False,False,215,7.7,4.1,1.5,49.7,23.5,79.4,49.9,13.9,6.6
Hassan Adams,2007,2009,['Guard'],76,220.0,"June 20, 1984",['Arizona'],False,False,73,2.5,1.2,0.2,53.4,0.0,64.3,53.4,11.8,0.8
