Active players without salary: 384
Generated at: 2026-03-24T14:35:43.297Z

id | player | teamCode | team
7616 | Asa Newell | ATL | Atlanta Hawks
7504 | Caleb Houstan | ATL | Atlanta Hawks
7553 | Christian Koloko | ATL | Atlanta Hawks
7548 | Corey Kispert | ATL | Atlanta Hawks
7438 | Dyson Daniels | ATL | Atlanta Hawks
7706 | Jacob Toppin | ATL | Atlanta Hawks
7528 | Jalen Johnson | ATL | Atlanta Hawks
7723 | Keaton Wallace | ATL | Atlanta Hawks
7635 | Kristaps Porziņģis | ATL | Atlanta Hawks
7487 | Mouhamed Gueye | ATL | Atlanta Hawks
7617 | N'Faly Dante | ATL | Atlanta Hawks
7376 | Nickeil Alexander-Walker | ATL | Atlanta Hawks
7620 | Onyeka Okongwu | ATL | Atlanta Hawks
7442 | RayJ Dennis | ATL | Atlanta Hawks
7556 | Vit Krejci | ATL | Atlanta Hawks
7655 | Zaccharie Risacher | ATL | Atlanta Hawks
7739 | Amari Williams | BOS | Boston Celtics
7668 | Baylor Scheierman | BOS | Boston Celtics
7480 | Hugo González | BOS | Boston Celtics
7724 | Jordan Walsh | BOS | Boston Celtics
7599 | Josh Minott | BOS | Boston Celtics
7473 | Luka Garza | BOS | Boston Celtics
7643 | Neemias Queta | BOS | Boston Celtics
7639 | Payton Pritchard | BOS | Boston Celtics
7493 | Ron Harper Jr. | BOS | Boston Celtics
7494 | Sam Hauser | BOS | Boston Celtics
7703 | Xavier Tillman Sr. | BOS | Boston Celtics
7664 | Ben Saraf | BKN | Brooklyn Nets
7698 | Cam Thomas | BKN | Brooklyn Nets
7753 | Danny Wolf | BKN | Brooklyn Nets
7674 | Day'Ron Sharpe | BKN | Brooklyn Nets
7638 | Drake Powell | BKN | Brooklyn Nets
7441 | Egor Dёmin | BKN | Brooklyn Nets
7565 | E.J. Liddell | BKN | Brooklyn Nets
7751 | Jalen Wilson | BKN | Brooklyn Nets
7423 | Nic Claxton | BKN | Brooklyn Nets
7427 | Noah Clowney | BKN | Brooklyn Nets
7708 | Nolan Traoré | BKN | Brooklyn Nets
7572 | Terance Mann | BKN | Brooklyn Nets
7579 | Tyrese Martin | BKN | Brooklyn Nets
7461 | Tyson Etienne | BKN | Brooklyn Nets
7750 | Ziaire Williams | BKN | Brooklyn Nets
7649 | Antonio Reeves | CHA | Charlotte Hornets
7594 | Brandon Miller | CHA | Charlotte Hornets
7626 | Drew Peterson | CHA | Charlotte Hornets
7742 | Grant Williams | CHA | Charlotte Hornets
7485 | Josh Green | CHA | Charlotte Hornets
7679 | KJ Simpson | CHA | Charlotte Hornets
7551 | Kon Knueppel | CHA | Charlotte Hornets
7384 | LaMelo Ball | CHA | Charlotte Hornets
7592 | Liam McNeeley | CHA | Charlotte Hornets
7443 | Moussa Diabaté | CHA | Charlotte Hornets
7489 | PJ Hall | CHA | Charlotte Hornets
7544 | Ryan Kalkbrenner | CHA | Charlotte Hornets
7520 | Sion James | CHA | Charlotte Hornets
7660 | Tidjane Salaün | CHA | Charlotte Hornets
7573 | Tre Mann | CHA | Charlotte Hornets
7451 | Ayo Dosunmu | CHI | Chicago Bulls
7736 | Coby White | CHI | Chicago Bulls
7696 | Dalen Terry | CHI | Chicago Bulls
7595 | Emanuel Miller | CHI | Chicago Bulls
7621 | Isaac Okoro | CHI | Chicago Bulls
7683 | Jalen Smith | CHI | Chicago Bulls
7476 | Josh Giddey | CHI | Chicago Bulls
7628 | Julian Phillips | CHI | Chicago Bulls
7622 | Lachlan Olbrich | CHI | Chicago Bulls
7407 | Matas Buzelis | CHI | Chicago Bulls
7716 | Nikola Vučević | CHI | Chicago Bulls
7460 | Noa Essengue | CHI | Chicago Bulls
7746 | Patrick Williams | CHI | Chicago Bulls
7541 | Tre Jones | CHI | Chicago Bulls
7467 | Trentyn Flowers | CHI | Chicago Bulls
7545 | Yuki Kawamura | CHI | Chicago Bulls
7568 | Chris Livingston | CLE | Cleveland Cavaliers
7633 | Craig Porter Jr. | CLE | Cleveland Cavaliers
7472 | Darius Garland | CLE | Cleveland Cavaliers
7508 | De'Andre Hunter | CLE | Cleveland Cavaliers
7718 | Dean Wade | CLE | Cleveland Cavaliers
7603 | Evan Mobley | CLE | Cleveland Cavaliers
7712 | Jaylon Tyson | CLE | Cleveland Cavaliers
7709 | Luke Travers | CLE | Cleveland Cavaliers
7705 | Nae'Qwan Tomlin | CLE | Cleveland Cavaliers
7593 | Sam Merrill | CLE | Cleveland Cavaliers
7640 | Tyrese Proctor | CLE | Cleveland Cavaliers
7740 | Brandon Williams | DAL | Dallas Mavericks
7577 | Caleb Martin | DAL | Dallas Mavericks
7465 | Cooper Flagg | DAL | Dallas Mavericks
7470 | Daniel Gafford | DAL | Dallas Mavericks
7566 | Dereck Lively II | DAL | Dallas Mavericks
7490 | Jaden Hardy | DAL | Dallas Mavericks
7656 | Jeremiah Robinson-Earl | DAL | Dallas Mavericks
7418 | Max Christie | DAL | Dallas Mavericks
7546 | Miles Kelly | DAL | Dallas Mavericks
7419 | Moussa Cisse | DAL | Dallas Mavericks
7575 | Naji Marshall | DAL | Dallas Mavericks
7727 | P.J. Washington | DAL | Dallas Mavericks
7614 | Ryan Nembhard | DAL | Dallas Mavericks
7527 | Cameron Johnson | DEN | Denver Nuggets
7401 | Christian Braun | DEN | Denver Nuggets
7534 | Curtis Jones | DEN | Denver Nuggets
7502 | DaRon Holmes | DEN | Denver Nuggets
7711 | Hunter Tyson | DEN | Denver Nuggets
7629 | Jalen Pickett | DEN | Denver Nuggets
7713 | Jonas Valančiūnas | DEN | Denver Nuggets
7692 | Julian Strawther | DEN | Denver Nuggets
7532 | Nikola Jokić | DEN | Denver Nuggets
7732 | Peyton Watson | DEN | Denver Nuggets
7540 | Spencer Jones | DEN | Denver Nuggets
7618 | Zeke Nnaji | DEN | Denver Nuggets
7700 | Ausar Thompson | DET | Detroit Pistons
7549 | Bobi Klintman | DET | Detroit Pistons
7436 | Cade Cunningham | DET | Detroit Pistons
7560 | Chaz Lanier | DET | Detroit Pistons
7533 | Colby Jones | DET | Detroit Pistons
7523 | Daniss Jenkins | DET | Detroit Pistons
7538 | Isaac Jones | DET | Detroit Pistons
7691 | Isaiah Stewart | DET | Detroit Pistons
7512 | Jaden Ivey | DET | Detroit Pistons
7453 | Jalen Duren | DET | Detroit Pistons
7483 | Javonte Green | DET | Detroit Pistons
7667 | Marcus Sasser | DET | Detroit Pistons
7648 | Paul Reed | DET | Detroit Pistons
7501 | Ron Holland | DET | Detroit Pistons
7686 | Tolu Smith | DET | Detroit Pistons
7606 | Wendell Moore Jr. | DET | Detroit Pistons
7631 | Brandin Podziemski | GSW | Golden State Warriors
7623 | Gary Payton II | GSW | Golden State Warriors
7663 | Gui Santos | GSW | Golden State Warriors
7557 | Jonathan Kuminga | GSW | Golden State Warriors
7435 | LJ Cryer | GSW | Golden State Warriors
7564 | Malevy Leons | GSW | Golden State Warriors
7605 | Moses Moody | GSW | Golden State Warriors
7689 | Pat Spencer | GSW | Golden State Warriors
7636 | Quinten Post | GSW | Golden State Warriors
7517 | Trayce Jackson-Davis | GSW | Golden State Warriors
7653 | Will Richard | GSW | Golden State Warriors
7671 | Alperen Şengün | HOU | Houston Rockets
7699 | Amen Thompson | HOU | Houston Rockets
7434 | Isaiah Crawford | HOU | Houston Rockets
7684 | Jabari Smith Jr. | HOU | Houston Rockets
7694 | Jae'Sean Tate | HOU | Houston Rockets
7440 | JD Davison | HOU | Houston Rockets
7678 | Reed Sheppard | HOU | Houston Rockets
7454 | Tari Eason | HOU | Houston Rockets
7615 | Aaron Nesmith | IND | Indiana Pacers
7613 | Andrew Nembhard | IND | Indiana Pacers
7582 | Bennedict Mathurin | IND | Indiana Pacers
7677 | Ben Sheppard | IND | Indiana Pacers
7578 | Cody Martin | IND | Indiana Pacers
7701 | Ethan Thompson | IND | Indiana Pacers
7581 | Garrison Mathews | IND | Indiana Pacers
7515 | Isaiah Jackson | IND | Indiana Pacers
7752 | James Wiseman | IND | Indiana Pacers
7721 | Jarace Walker | IND | Indiana Pacers
7506 | Jay Huff | IND | Indiana Pacers
7469 | Johnny Furphy | IND | Indiana Pacers
7539 | Kam Jones | IND | Indiana Pacers
7587 | Mac McClung | IND | Indiana Pacers
7637 | Micah Potter | IND | Indiana Pacers
7707 | Obi Toppin | IND | Indiana Pacers
7516 | Quenton Jackson | IND | Indiana Pacers
7627 | Taelon Peter | IND | Indiana Pacers
7397 | Bogdan Bogdanović | LAC | LA Clippers
7417 | Cam Christie | LAC | LA Clippers
7695 | Jahmyl Telfort | LAC | LA Clippers
7596 | Jordan Miller | LAC | LA Clippers
7404 | Kobe Brown | LAC | LA Clippers
7662 | Kobe Sanders | LAC | LA Clippers
7383 | Patrick Baldwin Jr. | LAC | LA Clippers
7728 | TyTy Washington Jr. | LAC | LA Clippers
7554 | Yanic Konan Niederhäuser | LAC | LA Clippers
7697 | Adou Thiero | LAL | Los Angeles Lakers
7647 | Austin Reaves | LAL | Los Angeles Lakers
7519 | Bronny James | LAL | Los Angeles Lakers
7574 | Chris Mañon | LAL | Los Angeles Lakers
7550 | Dalton Knecht | LAL | Los Angeles Lakers
7704 | Drew Timme | LAL | Los Angeles Lakers
7715 | Gabe Vincent | LAL | Los Angeles Lakers
7561 | Jake LaRavia | LAL | Los Angeles Lakers
7496 | Jaxson Hayes | LAL | Los Angeles Lakers
7406 | Kobe Bufkin | LAL | Los Angeles Lakers
7449 | Luka Dončić | LAL | Los Angeles Lakers
7685 | Nick Smith Jr. | LAL | Los Angeles Lakers
7488 | Rui Hachimura | LAL | Los Angeles Lakers
