Team,Player,Pos,MIN,MPG,OnBall%,DPM,ODPM,DDPM,PTS,CREATED_PTS,AST,Rim_AST,REB,TS%,rTS%,TOV,cTOV%,2P%,3P%,3PA,FT%,FTA,OREB,DREB,STL,BLK
ATL,Jalen Johnson,PF,1785,35.7,26.9%,+1.1,+1.3,-0.3,43.3,23.3,8.2,3.1,10.7,59.3%,+1.6%,3.4,9.8%,55.8%,35.3%,4.7,77.8%,5.6,1.6,9.1,1.3,0.5
ATL,Kristaps Porziņģis,C,413,24.3,9.2%,+1.0,+0.2,+0.8,23.4,17.1,2.7,1.2,5.1,58.9%,+1.2%,0.9,4.8%,52.4%,36.0%,5.1,84.0%,4.8,1.2,3.9,0.5,1.3
ATL,Trae Young,PG,280,28.0,40.7%,+0.5,+3.0,-2.4,40.3,19.3,8.9,4.0,1.5,57.9%,+0.2%,2.6,8.2%,50.0%,30.5%,5.9,86.3%,7.3,0.0,1.5,0.9,0.2
ATL,Onyeka Okongwu,C,1596,31.9,8.3%,+0.5,-0.1,+0.6,24.0,16.2,3.2,1.2,7.7,59.6%,+1.9%,1.9,9.7%,56.6%,37.9%,5.4,77.9%,2.8,1.9,5.8,1.2,1.0
ATL,Mouhamed Gueye,PF,862,16.3,6.0%,+0.4,-1.2,+1.6,7.4,4.9,1.0,0.3,3.7,52.8%,-4.9%,0.5,8.5%,56.2%,28.9%,1.8,62.7%,1.0,1.3,2.4,0.8,0.5
ATL,Dyson Daniels,SG,1780,33.6,22.6%,+0.1,-0.7,+0.8,26.7,11.6,6.2,2.2,6.4,52.2%,-5.5%,2.0,10.2%,55.6%,13.3%,1.4,61.5%,1.7,2.2,4.2,1.8,0.4
ATL,CJ McCollum,SG,1537,30.1,28.2%,-0.1,+0.6,-0.7,27.6,18.8,3.6,0.9,3.4,57.0%,-0.7%,1.7,7.2%,51.4%,38.2%,6.8,77.5%,3.0,0.7,2.7,0.7,0.4
ATL,Nickeil Alexander-Walker,SG,1795,33.2,20.6%,-0.3,+0.4,-0.7,29.1,20.1,3.7,1.3,3.6,57.6%,-0.1%,2.0,8.2%,49.8%,37.3%,8.1,88.5%,3.9,0.6,3.0,1.2,0.6
ATL,Jock Landale,C,1146,23.4,6.4%,-0.6,-0.1,-0.4,15.6,11.4,1.7,0.5,6.4,60.5%,+2.8%,1.0,7.9%,59.5%,39.9%,2.9,66.0%,2.0,3.1,3.3,0.5,0.5
ATL,Asa Newell,PF,442,11.3,6.7%,-0.8,-1.1,+0.3,6.4,5.1,0.5,0.1,2.1,63.8%,+6.1%,0.5,10.2%,65.8%,39.7%,1.7,56.0%,0.6,0.9,1.1,0.4,0.3
ATL,Buddy Hield,SG,773,17.2,11.6%,-1.0,-0.7,-0.4,11.6,7.9,1.5,0.5,2.4,56.0%,-1.7%,1.0,9.7%,60.0%,34.2%,4.4,79.4%,0.8,0.6,1.8,0.8,0.2
