Player,Team,Number,Position,Height,Weight,Last Attended,Country
Precious Achiuwa,SAC,9,F,6-8,243 lbs,Memphis,Nigeria
Steven Adams,HOU,12,C,6-11,265 lbs,Pittsburgh,New Zealand
Bam Adebayo,MIA,13,C-F,6-9,255 lbs,Kentucky,USA
Ochai Agbaji,BKN,30,G,6-5,215 lbs,Kansas,USA
Santi Aldama,MEM,7,F-C,7-0,215 lbs,Loyola-Maryland,Spain
Trey Alexander,NOP,23,G,6-5,185 lbs,Creighton,USA
Nickeil Alexander-Walker,ATL,7,G,6-5,205 lbs,Virginia Tech,Canada
Grayson Allen,PHX,8,G,6-3,198 lbs,Duke,USA
Jarrett Allen,CLE,31,C,6-9,243 lbs,Texas,USA
Jose Alvarado,NYK,5,G,6-0,179 lbs,Georgia Tech,USA
Kyle Anderson,MIN,12,F-G,6-8,230 lbs,UCLA,USA
Alex Antetokounmpo,MIL,29,F,6-8,214 lbs,,Greece
Giannis Antetokounmpo,MIL,34,F,6-11,243 lbs,Filathlitikos,Greece
Thanasis Antetokounmpo,MIL,43,F,6-7,219 lbs,Panathinaikos,Greece
Cole Anthony,,,G,6-2,185 lbs,North Carolina,USA
OG Anunoby,NYK,8,F-G,6-7,240 lbs,Indiana,United Kingdom
Deni Avdija,POR,8,F,6-8,228 lbs,Maccabi Tel Aviv,Israel
Deandre Ayton,LAL,5,C,7-0,252 lbs,Arizona,Bahamas
Marvin Bagley III,DAL,35,F,6-10,235 lbs,Duke,USA
Ace Bailey,UTA,19,F,6-9,200 lbs,Rutgers,USA
Patrick Baldwin Jr.,SAC,23,F,7-0,220 lbs,Wisconsin-Milwaukee,USA
LaMelo Ball,CHA,1,G,6-7,180 lbs,Illawarra,USA
Lonzo Ball,,,G,6-5,190 lbs,UCLA,USA
Mo Bamba,,,C,7-0,231 lbs,Texas,USA
Paolo Banchero,ORL,5,F,6-10,250 lbs,Duke,USA
Desmond Bane,ORL,3,G,6-6,215 lbs,TCU,USA
Dalano Banton,,,F,6-8,203 lbs,Nebraska,Canada
Dominick Barlow,PHI,25,F,6-9,224 lbs,Overtime Elite,USA
Harrison Barnes,SAS,40,F,6-7,225 lbs,North Carolina,USA
Scottie Barnes,TOR,4,F-G,6-8,237 lbs,Florida State,USA
Brooks Barnhizer,OKC,23,G,6-5,230 lbs,Northwestern,USA
RJ Barrett,TOR,9,F-G,6-6,214 lbs,Duke,Canada
